paket	band_nr	band_name	pixel_abs	anteil_prozent	groesste_flaeche_ha	schwerpunkt_bundesland	ampel	ursache
W3.1	26	geography_water_bodies	543106	27.5774	33943.4375	Vorarlberg	akzeptiert	Bodensee-Relation; alte Kette klippt per osmium extract --bbox vor dem Tag-Filter. Korrektur der neuen Kette, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	29	exclusion_geography	35487	0.0480	1496.2500	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	30	all_exclusions	15137	0.0119	529.7500	Vorarlberg	gelb	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	31	available_after_all_exclusions_raw	15137	0.2209	529.7500	Vorarlberg	gelb	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	32	available_cleaned_min_10ha	15137	0.2586	529.7500	Vorarlberg	gelb	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	33	available_blur_sigma_100m	25550	0.1169	831.5625	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	34	available_blur_sigma_200m	36143	0.1114	2258.7500	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	35	available_blur_sigma_250m	41574	0.1129	2595.1875	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W3.1	36	available_blur_sigma_300m	47023	0.1152	2933.8750	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W5.P2	5	haeuser_im_gruenen_streusiedlung	386	0.0392	8.2500	Wien	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
